venue,signal_type,aliases
# International HNW neighbourhoods / towns / districts, matched by NAME against
# the billing AND shipping address (robust where postcodes differ or are unused,
# e.g. the GCC). signal_type = country (shown as the reason's country tag).
# Use distinctive aliases so ordinary streets don't false-fire. EDIT to extend.

# --- Monaco ---
Monte Carlo,Monaco,MONTE CARLO;MONACO
La Rousse,Monaco,LA ROUSSE;MONTE CARLO

# --- France ---
Saint-Tropez,France,SAINT TROPEZ;ST TROPEZ
Cap d'Antibes,France,CAP D ANTIBES;CAP DANTIBES
Cap Ferrat,France,SAINT JEAN CAP FERRAT;CAP FERRAT
Courchevel,France,COURCHEVEL
Megeve,France,MEGEVE
Val d'Isere,France,VAL D ISERE;VAL DISERE
Neuilly-sur-Seine,France,NEUILLY SUR SEINE
Avenue Foch,France,AVENUE FOCH
Avenue Montaigne,France,AVENUE MONTAIGNE
Ile Saint-Louis,France,ILE SAINT LOUIS
Ramatuelle,France,RAMATUELLE

# --- Italy ---
Portofino,Italy,PORTOFINO
Forte dei Marmi,Italy,FORTE DEI MARMI
Porto Cervo,Italy,PORTO CERVO
Capri,Italy,CAPRI
Cortina d'Ampezzo,Italy,CORTINA D AMPEZZO;CORTINA DAMPEZZO
Bellagio,Italy,BELLAGIO
Lake Como,Italy,LAKE COMO;LAGO DI COMO
Via Montenapoleone,Italy,VIA MONTENAPOLEONE;MONTENAPOLEONE
Positano,Italy,POSITANO
Taormina,Italy,TAORMINA

# --- Switzerland ---
Gstaad,Switzerland,GSTAAD
St Moritz,Switzerland,ST MORITZ;SANKT MORITZ;SAINT MORITZ
Cologny,Switzerland,COLOGNY
Kusnacht,Switzerland,KUSNACHT;KUSSNACHT
Verbier,Switzerland,VERBIER
Zermatt,Switzerland,ZERMATT
Andermatt,Switzerland,ANDERMATT
Crans-Montana,Switzerland,CRANS MONTANA

# --- Luxembourg ---
Belair,Luxembourg,BELAIR
Limpertsberg,Luxembourg,LIMPERTSBERG
Kirchberg,Luxembourg,KIRCHBERG
Weimershof,Luxembourg,WEIMERSHOF

# --- Germany ---
Grunwald,Germany,GRUNWALD;GRUENWALD
Bogenhausen,Germany,BOGENHAUSEN
Starnberg,Germany,STARNBERG
Sylt,Germany,SYLT;KAMPEN
Blankenese,Germany,BLANKENESE
Harvestehude,Germany,HARVESTEHUDE
Dahlem,Germany,DAHLEM
Grunewald,Germany,GRUNEWALD
Tegernsee,Germany,TEGERNSEE

# --- China ---
Tomson Riviera,China,TOMSON RIVIERA;TOMSON GOLF
Lujiazui,China,LUJIAZUI
Xintiandi,China,XINTIANDI
Sheshan,China,SHESHAN
Former French Concession,China,FORMER FRENCH CONCESSION
Gubei,China,GUBEI
Chaoyang CBD,China,CHAOYANG
Shunyi,China,SHUNYI
Wangfujing,China,WANGFUJING
Financial Street Beijing,China,FINANCIAL STREET
Shenzhen Bay,China,SHENZHEN BAY;HOUHAI
Shekou,China,SHEKOU
West Lake Hangzhou,China,WEST LAKE;XIHU
Zhujiang New Town,China,ZHUJIANG NEW TOWN;ZHUJIANG XINCHENG
Tianhe,China,TIANHE
Haitang Bay,China,HAITANG BAY
Yanlord,China,YANLORD

# --- Japan ---
Roppongi,Japan,ROPPONGI;ROPPONGI HILLS
Azabu,Japan,AZABU;AZABU JUBAN;MOTO AZABU;MINAMI AZABU
Hiroo,Japan,HIROO
Shirokane,Japan,SHIROKANE;SHIROKANEDAI
Den-en-chofu,Japan,DEN EN CHOFU;DENENCHOFU
Shoto,Japan,SHOTO
Akasaka,Japan,AKASAKA
Aoyama,Japan,AOYAMA;MINAMI AOYAMA
Omotesando,Japan,OMOTESANDO
Bancho,Japan,BANCHO;ICHIBANCHO
Hanzomon,Japan,HANZOMON
Yoyogi-Uehara,Japan,YOYOGI UEHARA
Daikanyama,Japan,DAIKANYAMA
Takanawa,Japan,TAKANAWA
Ashiya,Japan,ASHIYA

# NOTE: prime Gulf (GCC) districts moved to reference_data/locations/gulf_prime_districts.csv
# — they are GATED off by default (origin-adjacent). See docs/geography-signal-taxonomy.md.

# --- Globally famous HNW streets / enclaves ---
Kensington Palace Gardens,UK,KENSINGTON PALACE GARDENS
The Bishops Avenue,UK,THE BISHOPS AVENUE;BISHOPS AVENUE
Avenue Princess Grace,Monaco,AVENUE PRINCESSE GRACE;AVENUE PRINCESS GRACE
Villa Montmorency,France,VILLA MONTMORENCY
The Peak,Hong Kong,VICTORIA PEAK;THE PEAK
# NOTE: the two below are GENERIC street names and WILL over-fire on ordinary
# NYC addresses — kept per request; remove if too noisy.
Fifth Avenue,USA,FIFTH AVENUE
Park Avenue,USA,PARK AVENUE

# --- UK prime areas & streets (recover geographic signal where there's no
# postcode — these names appear in the address LINES). Distinctive streets/
# squares + small uniformly-prime districts; broad mixed districts kept light. ---
Belgravia,UK,BELGRAVIA
Knightsbridge,UK,KNIGHTSBRIDGE
Mayfair,UK,MAYFAIR
Eaton Square,UK,EATON SQUARE;EATON PLACE;EATON TERRACE
Belgrave Square,UK,BELGRAVE SQUARE
Chester Square,UK,CHESTER SQUARE
Wilton Crescent,UK,WILTON CRESCENT
Lowndes Square,UK,LOWNDES SQUARE
Motcomb Street,UK,MOTCOMB STREET
Grosvenor Square,UK,GROSVENOR SQUARE
Berkeley Square,UK,BERKELEY SQUARE
Mount Street,UK,MOUNT STREET
Carlos Place,UK,CARLOS PLACE
South Audley Street,UK,SOUTH AUDLEY STREET
Curzon Street,UK,CURZON STREET
Cadogan Square,UK,CADOGAN SQUARE;CADOGAN PLACE;CADOGAN GARDENS
Sloane Street,UK,SLOANE STREET;SLOANE SQUARE
Cheyne Walk,UK,CHEYNE WALK;CHEYNE ROW
The Boltons,UK,THE BOLTONS
Tite Street,UK,TITE STREET
Egerton Crescent,UK,EGERTON CRESCENT;EGERTON GARDENS
Lennox Gardens,UK,LENNOX GARDENS
Pont Street,UK,PONT STREET
Kensington Square,UK,KENSINGTON SQUARE
Phillimore Gardens,UK,PHILLIMORE GARDENS
Cornwall Gardens,UK,CORNWALL GARDENS
Ilchester Place,UK,ILCHESTER PLACE
Vicarage Gate,UK,VICARAGE GATE
Holland Park,UK,HOLLAND PARK
Campden Hill,UK,CAMPDEN HILL
Pelham Crescent,UK,PELHAM CRESCENT
