# Fashion-stylists-ONLY directory (Moda Database artist-type/fashion-stylists),
# pages 1-21 of 532 (the more prominent stylists; excludes hair & make-up artists).
# Tier 2 / corroboration-only: a match here NEVER surfaces a customer on its own
# (see SUPPORTING_SIGNALS in combine.py) -- it only adds weight when a stronger
# wealth signal has also fired. Curated Tier-1 names are excluded. 'Possible stylist'.
name
Robert Flood
Sandra Okerulu
Ashlee Muhammad
Priyankka Castelinno
Toyin Lawani
Sana Anver
Dolly Mungai
Namratha Jauni
Diana Chanzu
Alvin McQueen
Meagan Concessio
Jeremiah Ogbodo
Abhilasha Devnani
Deni Todorovič
Sonali Jain
Kim Balko
Pranay Jaitly
Shounak Amonkar
Mohit Rai
Daniel Obasi
Rachel Fanconi
Alizé Demange
Rain Dagala
Paul Burgo
Asaniya Nazrin
Bobby Wesley
Priyanka Shahani
Kazim Delhiwala
Shravya Varma
Rawan Kattoa
Clémentine MacNeice
Liz Uy
Lana Wilkinson
Isha Bhansali
Gayle Rinkoff
Jessica Mulroney
Mikiel Benyamin
Ebony Brown
JenniLee
Andie Sobrato
Maneka Harisinghani
Lakshmi Lehr
Mimi Linda Yina
Gemma Sheppard
Radhika Mehra
Tyler Minor
Amber Jackson
Karl Willett
Danielle Whiteman
Angie Smith
Fiona Fagan
Jeremy Haynes
Icon Billingsley
Avon Dorsey
Iván Poshenko
Mandy Maher
Khalil Zein
Urbana Chappa Lawrence
Wayne Scot Lukas
Ashley Rebello
Ken Ferns
Lauren Cunningham
Candy Holladay
Caitlin Jaymes
Jess Pecoraro
Tim B.
Carrie Cramer
Chèrie Kilchrist
London Wilmot
Kat Gosik
Jan-Michael Quammie
Dylan Weller
Ramona Tabita
Rebecca Baglini
Susanna Ausoni
Simone Furlan
Nicolò Cerioni
Richa Ranawat
Tanya Tamburin
Briana Andalore
Anjali Phougat
Ryan Kay
Justine King
Raúl Alvarez
Chandni Sareen
Chandani Mehta
Mark Heyes
Neerajaa Kona
KJ Moody
Ayishat Akanbi
Karen Binns
Madeleine Bowden
Rachel Zoe
Natalie Robinson
Akshay Tyagi
Zeena Shah
Rochelle White
Kosh Hewage
Anisha Gandhi
Jana Scalzitti
Eka Lakhani
Rita Melssen
Brandon Williams
Daniela Benaim
Joanna Angeles
Soneca Guadara
Rachel Garrett
Suchita Golecha
Grace Woodward
Victor Maina
Emily Loftiss
Sabrina Forscutt
Memsor Kamarake
Nandita Mahtani
Joseph Hobbs
Abby Arad
Lindsay Brooke Weiss
Tiffany Piñero
Beverly Osemwenkhae
Liv Schreiber
Christina Stein
Kara Allan
Chloe Markham
Laura Jordan
Emily O'Donnell
Rebecca Rose
Aideen Feely
Lorna Weightman
Eshaa Amiin
Sanjana Batra
Aastha Sharma
Victoria Bain
Allia Al Rufai
Nikita Jaisinghani
Nitasha Gaurav
Jacqueline Zenere
Maggie Greene
Kat Cruz-Villanueva
Youngjin Kim
Wook Kim
Minhee Park
Kyoung Eun Rhee
Fwanwook Jung
Kyungwon Choi
Chaca Ibrohim
Marco Rodriguez
Liat Bitan
Brynna Eclesia Christiandy
Alyssa On
Eunyoung Sohn
Erina Ohama
Paris Mitchell Temple
Danielle Clausen
Maël Naitchalal
Charlotte Neuwels
Sivan Himy
Vivian Racks
Stefanie Klopf
Selvar Nguyen
María Cuntín
Rebeca Sueiro
Carlos Marán
Whitney Anne Moore
Amanda O'Connor
Ariella Masjedi
Anastasia Tumanova
Camille Céleste Paradis
Marlond Samedy
Samuel Joubert
Álvaro Delgado
Tanus Lewis
Monia Pedretti
Luisa Hoyer
Leila Bani
Rhea Fey
Benjamin Aerts
Valerie Zehethofer
Nastya Klychkova
Chumi Polak
Beñat Yanci
Parker Harwood
Kwame Seko
Énigma Rassi Hufudottir
Julia Philippitsch
Jessica Harris
Peli Lam
Gerard López Pie
Katija Hirsch
Seannita Parmer
Bea Hansson
Julia Häggblom
Marta Achini
Tanja Martin
Bertie Taylor-Smith
Andreas Peter Krings
Christopher Brown
Alexandria Montague
Minji Kim-Lee
Isabelle Sabel
Miriam Mira
Justine Lee
Sam Sam
Anderson Tsui
Olivia Magdaleno
Aly Cooper
Emily Rae Rose
Michelle Laine
Oana Diaconu
Alex Levey
Sierra Rae
Camilla Staerk
Nesha Rae
Jardine Hammond
Alexis Zipp Goldsmith
Alana Vandera
Lauren Delaine
Isabel Bonner
Kate Emerick
Lor-e Phillips
Sybil Haagen
Hafize Celikturk
Laura Sueiro
Lucia Cuesta
Cristina Garcia Vivanco
Calyann Barnett
Anna Sjunnesson
Jazmine Gandhi
Zoe Jervoise Graham
Carlos Freixeda
Nick Royal
James Yardley
Yvonne Wigger
Debbie Harper
Nora Bordjah
Ashley Sean Thomas
Nuntaporn Munkit
Laura Spriet
Elke Dostal
Chloe Takayanagi
Ashley Stephens
Ilanka Verhoeven
Konstantin Spachis
Pia Leonie Knoll
