postcode,area,avg_taxable_income,tier
# Generated by scripts/build_au_income.py from ATO Taxation Statistics (data.gov.au).
# Tier bands (AUD average taxable income): ultra>=200,000 prime>=150,000 high>=120,000; min 500 earners; PO-box ranges excluded.
2010,Sydney - City and Inner South,135899,high
2011,Potts Point & Elizabeth Bay,128759,high
2021,Paddington,168108,prime
2022,Sydney - Eastern Suburbs,122078,high
2023,Bellevue Hill,253494,ultra
2024,Sydney - Eastern Suburbs,178497,prime
2025,Woollahra,217284,ultra
2026,Bondi & Tamarama,145112,high
2027,Point Piper & Darling Point,241831,ultra
2028,Double Bay,215015,ultra
2029,Sydney - Eastern Suburbs,165263,prime
2030,Vaucluse & Rose Bay,250352,ultra
2031,Sydney - Eastern Suburbs,121046,high
2034,Sydney - Eastern Suburbs,127909,high
2038,Sydney - Inner West,128024,high
2039,Sydney - Inner West,136600,high
2041,Balmain,170465,prime
2045,Sydney - Inner West,130385,high
2047,Sydney - Inner West,129469,high
2060,Sydney - North Sydney and Hornsby,138438,high
2061,Kirribilli & Milsons Point,191797,prime
2062,Sydney - North Sydney and Hornsby,147318,high
2063,Northbridge,196831,prime
2065,Sydney - North Sydney and Hornsby,125818,high
2066,Sydney - North Sydney and Hornsby,139484,high
2068,Sydney - North Sydney and Hornsby,144090,high
2069,Sydney - North Sydney and Hornsby,156718,prime
2070,Sydney - North Sydney and Hornsby,127917,high
2071,Sydney - North Sydney and Hornsby,131180,high
2073,Sydney - North Sydney and Hornsby,131456,high
2074,Sydney - North Sydney and Hornsby,132129,high
2084,Sydney - Northern Beaches,126215,high
2088,Mosman,210369,ultra
2089,Sydney - North Sydney and Hornsby,132343,high
2090,Cremorne,147585,high
2092,Sydney - Northern Beaches,176705,prime
2093,Sydney - Northern Beaches,140922,high
2094,Sydney - Northern Beaches,133409,high
2095,Manly,153558,prime
2096,Sydney - Northern Beaches,140638,high
2104,Sydney - Northern Beaches,182863,prime
2105,Sydney - Northern Beaches,126542,high
2106,Sydney - Northern Beaches,136213,high
2107,Sydney - Northern Beaches,128032,high
2108,Palm Beach,206261,ultra
2110,Hunters Hill & Woolwich,217070,ultra
2111,Sydney - Ryde,121110,high
2158,Sydney - Baulkham Hills and Hawkesbury,161370,prime
2600,Deakin & Yarralumla,137164,high
2603,Forrest & Griffith,148501,high
2618,Capital Region,145036,high
3002,East Melbourne,134811,high
3079,Melbourne - North East,129204,high
3093,Melbourne - North East,127736,high
3101,Kew,137010,high
3122,Hawthorn,132069,high
3123,Melbourne - Inner East,126688,high
3126,Melbourne - Inner East,146066,high
3141,South Yarra,121257,high
3142,Toorak & Hawksburn,282398,ultra
3143,Armadale,155845,prime
3144,Malvern,161384,prime
3161,Melbourne - Inner South,129070,high
3186,Brighton,172387,prime
3188,Melbourne - Inner South,123025,high
3191,Melbourne - Inner South,122151,high
3193,Melbourne - Inner South,120484,high
3206,Albert Park & Middle Park,176567,prime
3207,Melbourne - Inner,124316,high
3441,Melbourne - North West,133852,high
3641,Shepparton,120915,high
3770,Melbourne - Outer East,137767,high
3916,Mornington Peninsula,129693,high
3926,Mornington Peninsula,124399,high
3929,Mornington Peninsula,162311,prime
3937,Mornington Peninsula,144227,high
3943,Mornington Peninsula,158151,prime
3944,Portsea,330037,ultra
4005,New Farm & Teneriffe,137040,high
4007,Ascot & Hamilton,130159,high
4060,Brisbane Inner City,121073,high
4065,Brisbane Inner City,133684,high
4155,Brisbane - East,186136,prime
4171,Bulimba & Hawthorne,138307,high
5061,Unley Park & Hyde Park,125350,high
5066,Adelaide - Central and Hills,145283,high
6008,Perth - Inner,120807,high
6009,Dalkeith & Nedlands,184481,prime
6010,Claremont & Swanbourne,145096,high
6011,Peppermint Grove & Cottesloe,242059,ultra
6012,Mosman Park,157499,prime
6015,Perth - Inner,181558,prime
6029,Perth - North West,135891,high
6153,Applecross & Mount Pleasant,123316,high
6159,Perth - South West,131347,high
6713,Western Australia - Outback (North),134293,high
6721,Western Australia - Outback (North),126640,high
6754,Western Australia - Outback (North),121517,high
