fsa,area,avg_total_income,tier
# Generated by scripts/build_can_income.py from CRA FSA tax statistics (canada.ca).
# Tier bands (CAD average total income): ultra>=200,000 prime>=140,000 high>=100,000; min 2,500 taxfilers per FSA.
G1T,"Sillery, Quebec City",116181,high
H2V,"Outremont, Montreal",102884,high
H2Y,Old Montreal,124877,high
H3A,"Golden Square Mile, Montreal",108495,high
H3G,Downtown Montreal,108108,high
H3P,"Town of Mount Royal, Montreal",119408,high
H3R,"Mount Royal, Montreal",143719,prime
H3Y,"Westmount, Montreal",298081,ultra
H3Z,"Westmount, Montreal",133061,high
H9W,"Beaconsfield, Montreal",105103,high
K1M,"Rockcliffe Park, Ottawa",137159,high
K1S,"The Glebe, Ottawa",100788,high
L0J,Kleinburg,136559,high
L5H,"Lorne Park, Mississauga",115036,high
L6J,Old Oakville,159377,prime
L7B,King City,115366,high
M2L,"St Andrew-Windfields, Toronto",141813,prime
M2P,"York Mills, Toronto",149616,prime
M3B,"Banbury & Don Mills, Toronto",138796,high
M4E,"The Beaches, Toronto",109373,high
M4G,"Leaside, Toronto",150260,prime
M4N,"Lawrence Park, Toronto",258935,ultra
M4R,North Toronto,146452,prime
M4T,"Moore Park, Toronto",256721,ultra
M4V,"Forest Hill South, Toronto",206928,ultra
M4W,"Rosedale, Toronto",243135,ultra
M5C,Downtown Toronto,177955,prime
M5E,"St Lawrence, Toronto",113705,high
M5H,"Financial District, Toronto",298283,ultra
M5J,"Harbourfront, Toronto",106218,high
M5M,"Bedford Park, Toronto",153488,prime
M5N,"Lytton Park, Toronto",147446,prime
M5P,"Forest Hill, Toronto",167939,prime
M5R,"The Annex & Yorkville, Toronto",164052,prime
M6S,"Swansea & Bloor West, Toronto",106408,high
M8X,"The Kingsway, Toronto",167797,prime
M9A,"Islington, Toronto",108209,high
R3P,"Tuxedo, Winnipeg",104428,high
T2N,"Hillhurst, Calgary",111181,high
T2S,"Elbow Park, Calgary",165972,prime
T2T,"Upper Mount Royal, Calgary",141499,prime
T3H,"West Springs, Calgary",102393,high
T3Z,"Springbank, Calgary",176587,prime
T8B,Sherwood Park,116539,high
T9K,"Timberlea, Fort McMurray",104056,high
V6C,"Coal Harbour, Vancouver",157192,prime
V6H,"Shaughnessy, Vancouver",115386,high
V6J,"Kitsilano, Vancouver",108522,high
V6L,"Dunbar, Vancouver",107083,high
V6N,"Kerrisdale & Dunbar, Vancouver",117475,high
V6R,"Point Grey, Vancouver",114225,high
V7R,"Edgemont, North Vancouver",118510,high
V7S,"British Properties, West Vancouver",117013,high
V7V,West Vancouver,169396,prime
V7W,West Vancouver,157894,prime
