zip,area,value,tier
# US high-value home-area ZIPs (Zillow ZHVI). Regenerate with scripts/build_us_property.py.
# Lines starting with # are ignored. Tier: ultra (>= $2M) / prime (>= $1M) latest ZHVI.
01730,Bedford MA,1048672,prime
01741,Carlisle MA,1343216,prime
01742,Concord MA,1459538,prime
01770,Sherborn MA,1246894,prime
01773,Lincoln MA,1536536,prime
01776,Sudbury MA,1174894,prime
01778,Wayland MA,1176899,prime
01810,Andover MA,1016994,prime
01890,Winchester MA,1592115,prime
01921,Boxford MA,1081118,prime
01940,Lynnfield MA,1104280,prime
01944,Manchester MA,1391936,prime
01945,Marblehead MA,1061093,prime
01951,Newbury MA,1006240,prime
01984,Wenham MA,1085639,prime
02025,Cohasset MA,1468662,prime
02030,Dover MA,1796625,prime
02043,Hingham MA,1365628,prime
02052,Medfield MA,1098393,prime
02061,Norwell MA,1079958,prime
02066,Scituate MA,1039609,prime
02090,Westwood MA,1272424,prime
02108,Boston MA,1659606,prime
02110,Boston MA,1420779,prime
02116,Boston MA,1333018,prime
02129,Boston MA,1025354,prime
02138,Cambridge MA,1163293,prime
02139,Cambridge MA,1016772,prime
02140,Cambridge MA,1104395,prime
02142,Cambridge MA,1330295,prime
02144,Somerville MA,1064857,prime
02186,Milton MA,1106122,prime
02199,Boston MA,3479236,ultra
02210,Boston MA,1496069,prime
02332,Duxbury MA,1132300,prime
02420,Lexington MA,1574426,prime
02421,Lexington MA,1673655,prime
02445,Brookline MA,1162856,prime
02446,Brookline MA,1079688,prime
02458,Newton MA,1289456,prime
02459,Newton MA,1891744,prime
02460,Newton MA,1387891,prime
02461,Newton MA,1549399,prime
02462,Newton MA,1367025,prime
02465,Newton MA,1439875,prime
02466,Newton MA,1438908,prime
02467,Brookline MA,1225509,prime
02468,Newton MA,2211726,ultra
02474,Arlington MA,1090041,prime
02476,Arlington MA,1123121,prime
02478,Belmont MA,1492657,prime
02481,Wellesley MA,2247683,ultra
02482,Wellesley MA,1868792,prime
02492,Needham MA,1694164,prime
02493,Weston MA,2297821,ultra
02494,Needham MA,1391885,prime
02535,Chilmark MA,2175173,ultra
02539,Edgartown MA,1873582,prime
02540,Falmouth MA,1081206,prime
02543,Falmouth MA,1547971,prime
02554,Nantucket MA,3084462,ultra
02556,Falmouth MA,1058518,prime
02557,MA,1259525,prime
02568,Tisbury MA,1360398,prime
02575,West Tisbury MA,1697683,prime
02633,Chatham MA,1337198,prime
02646,Harwich Port MA,1120034,prime
02650,Chatham MA,2024350,ultra
02653,Orleans MA,1076888,prime
02655,Barnstable MA,1223758,prime
02657,Provincetown MA,1062797,prime
02659,Chatham MA,1009659,prime
02666,Truro MA,1100575,prime
02713,Gosnold MA,1330446,prime
02807,New Shoreham RI,1794683,prime
02835,Jamestown RI,1192133,prime
03750,Hanover NH,1072010,prime
03854,New Castle NH,2408393,ultra
03870,Rye NH,1300505,prime
03871,Rye Beach NH,2875618,ultra
05672,Stowe VT,1053176,prime
06793,Washington CT,1189222,prime
06807,Greenwich CT,1846811,prime
06820,Darien CT,2407761,ultra
06824,Fairfield CT,1143402,prime
06830,Greenwich CT,2484056,ultra
06831,Greenwich CT,2148751,ultra
06840,New Canaan CT,2182337,ultra
06853,Norwalk CT,2231970,ultra
06870,Greenwich CT,2647916,ultra
